commonName	scientificName	scientificName2	scientificName3	scientificName4
African sheepbush	Pentzia incana			
Black alder	Alnus glutinosa			
Black alder	Ilex verticillata			
Common alder	Alnus glutinosa			
False alder	Ilex verticillata			
Gray alder	Alnus incana			
Speckled alder	Alnus incana			
White alder	Alnus incana	Alnus rhombifolia	Ilex verticillata	
Almond	Prunus dulcis			
Aloe vera	Aloe vera			
Foxtail amaranth	Amaranthus caudatus			
Tall ambrosia	Ambrosia trifida			
Amy root	Apocynum cannabinum			
Angel trumpet	Brugmansia suaveolens			
Apple	Malus domestica			
Apricot	Prunus armeniaca			
Arfaj	Rhanterium epapposum			
Arizona sycamore	Platanus wrighitii			
Arrowwood	Cornus florida			
Indian arrowwood	Cornus florida			
Ash	Fraxinus 			
Black ash	Acer negundo	Fraxinus nigra		
Blue ash	Fraxinus quadrangulata			
Cane ash	Fraxinus americana			
European ash	Fraxinus excelsior			
Green ash	Fraxinus pennsylvanica lanceolata			
Maple ash	Acer negundo			
Red ash	Fraxinus pennsylvanica lanceolata			
River ash	Fraxinus pennsylvanica			
Swamp ash	Fraxinus pennsylvanica			
White ash	Fraxinus americana			
Water ash	Acer negundo	Fraxinus pennsylvanica		
Carolina azolla	Azolla caroliniana			
Bamboo	bamboosa ardinarifolia			
Banana	mainly Musa × paradisica			
Bay	Laurus spp. or Umbellularia spp.			
Bay laurel	Laurus nobilis (culinary)			
California bay	Umbellularia californica			
Bean	Fabaceae		Phaseolus 	
Bearberry	Ilex decidua			
Bear corn	Veratrum viride			
Blue bindweed	Solanum dulcamara			
Birds nest	Daucus carota			
Birds nest plant	Daucus carota			
Bird of paradise	Strelitzia reginae			
Birch	Betula 			
Black birch	Betula lenta	Betula nigra		
Bolean birch	Betula papyrifera			
Canoe birch	Betula papyrifera			
Cherry birch	Betula lenta			
European weeping birch	Betula pendula			
European white birch	Betula pendula			
Gray birch	Betula alleghaniensis			
Mahogany birch	Betula lenta			
Paper birch	Betula papyrifera			
Red birch	Betula nigra			
River birch	Betula nigra	Betula lenta		
Silver birch	Betula papyrifera			
Spice birch	Betula lenta			
Sweet birch	Betula lenta			
Water birch	Betula nigra			
Weeping birch	Betula pendula			
White birch	Betula papyrifera	Betula pendula		
Yellow birch	Betula alleghaniensis			
Bittercress	Barbarea vulgaris	Cardamine bulbosa	Cardamine hirsuta	
Hairy bittercress	Cardamine hirsuta			
Bittersweet	Solanum dulcamara			
Trailing bittersweet	Solanum dulcamara			
Blackberry	Rubus pensilvanicus			
Blackberry	Rubus occidentalis			
Hispid swamp blackberry	Rubus hispidus			
Pennsylvania blackberry	Rubus pensilvanicus			
Running swamp blackberry	Rubus hispidus			
Black cap	Rubus occidentalis			
Black-eyed Susan	Rudbeckia hirta			
Black-eyed Susan	Rudbeckia fulgida			
Blackhaw	Viburnum prunifolium			
Blackiehead	Rudbeckia hirta			
Black-weed	Ambrosia artemisiifolia			
Blueberry	Vaccinium (Cyanococcus) spp.			
Bluebell	Hyacinthoides non-scripta			
Blue-of-the-heavens	Allium caeruleum			
Bow-wood	Maclura pomifera			
False box	Cornus florida			
Boxelder	Acer negundo			
Boxwood	Buxus	Cornus florida		
False boxwood	Cornus florida			
Sand brier	Solanum carolinense			
Brittlebush	Encelia farinosa			
Broadleaf	Plantago major			
Brown Betty	Rudbeckia hirta			
Brown-eyed susan	Rudbeckia hirta	Rudbeckia triloba		
Buckeye (California buckeye)	Aesculus californica			
Buffalo weed	Ambrosia trifida			
Bugle	Ajuga reptans			
Butterfly flower	Asclepias syriaca			
Butterfly weed	Asclepias tuberosa			
Cabbage	Brassica oleracea			
Clumpfoot cabbage	Symplocarpus foetidus			
Meadow cabbage	Symplocarpus foetidus			
Skunk cabbage	Symplocarpus foetidus	Lysichiton 		
Swamp cabbage	Symplocarpus foetidus			
California bay	Umbellularia californica			
California buckeye	Aesculus californica			
California sycamore	Platanus racemosa			
